id;name;description;
"1";"MPPEUCT";"";
"2";"MPP Salud";"";
"3";"MPP Vivienda y Habitat";"";
"4";"Barrio Nuevo Barrio Tricolor";"";
"5";"CVG";"";
"6";"CORPOELEC";"";
"7";"TRANSAMAZONAS";"";
"8";"FONTUR";"";
"9";"MPP Obras Públicas";"";
"10";"MPP Comunas";"";
"11";"IDENNA";"";
"12";"MPP Trabajo";"";
"13";"Misión José Gregorio Hernández";"";
"14";"MPP Alimentación";"";
"15";"MPP Educación";"";
"16";"MPP Agricultura y Tierras";"";
"17";"MPP Agricultura Urbana";"";
"18";"MPP Pesca y Acuicultura";"";
"19";"INAPYMI";"";
"20";"Banco de la Mujer";"";
